"n","org_trans","stemm","tokens1","tokens2","tokens3","tokens4","tokens5"
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"programmer","programm","programm",NA,NA,NA,NA
1,"seller","seller","seller",NA,NA,NA,NA
1,"professor","professor","professor",NA,NA,NA,NA
1,"psychologist","psychologist","psychologist",NA,NA,NA,NA
2,"regional manager","region manag","region","manag",NA,NA,NA
1,"leader","leader","leader",NA,NA,NA,NA
2,"sales manager","sale manag","sale","manag",NA,NA,NA
2,"project manager","project manag","project","manag",NA,NA,NA
2,"system administrator","system administr","system","administr",NA,NA,NA
1,"specialist","specialist","specialist",NA,NA,NA,NA
2,"territorial manager","territori manag","territori","manag",NA,NA,NA
2,"technical director","technic director","technic","director",NA,NA,NA
1,"manager","manag","manag",NA,NA,NA,NA
2,"managing director","manag director","manag","director",NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"economist","economist","economist",NA,NA,NA,NA
1,"lawyer","lawyer","lawyer",NA,NA,NA,NA
1,"accountant","account","account",NA,NA,NA,NA
1,"manager","manag","manag",NA,NA,NA,NA
1,"engineer","engin","engin",NA,NA,NA,NA
1,"unemployed","unemploy","unemploy",NA,NA,NA,NA
1,"business","busi","busi",NA,NA,NA,NA
1,"salesman","salesman","salesman",NA,NA,NA,NA
2,"business manager","busi manag","busi","manag",NA,NA,NA
2,"self employed","self employ","self","employ",NA,NA,NA
1,"director","director","director",NA,NA,NA,NA
1,"supervisor","supervisor","supervisor",NA,NA,NA,NA
2,"product manager","product manag","product","manag",NA,NA,NA
1,"representative","repres","repres",NA,NA,NA,NA
1,"ceo","ceo","ceo",NA,NA,NA,NA
1,"accounting","account","account",NA,NA,NA,NA
3,"deputy general manager","deputi general manag","deputi","general","manag",NA,NA
2,"deputy manager","deputi manag","deputi","manag",NA,NA,NA
2,"assistant manager","assist manag","assist","manag",NA,NA,NA
2,"assistant engineer","assist engin","assist","engin",NA,NA,NA
2,"regional manager","region manag","region","manag",NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
1,"chief","chief","chief",NA,NA,NA,NA
1,"driver","driver","driver",NA,NA,NA,NA
1,"partner","partner","partner",NA,NA,NA,NA
1,"staff","staff","staff",NA,NA,NA,NA
3,"foreign trade clerk","foreign trade clerk","foreign","trade","clerk",NA,NA
1,"student","student","student",NA,NA,NA,NA
1,"intern","intern","intern",NA,NA,NA,NA
2,"account manager","account manag","account","manag",NA,NA,NA
2,"customer service","custom servic","custom","servic",NA,NA,NA
1,"worker","worker","worker",NA,NA,NA,NA
1,"engineer","engin","engin",NA,NA,NA,NA
1,"engineer","engin","engin",NA,NA,NA,NA
1,"owner","owner","owner",NA,NA,NA,NA
2,"store manager","store manag","store","manag",NA,NA,NA
1,"micro-business","microbusi","microbusi",NA,NA,NA,NA
1,"director","director","director",NA,NA,NA,NA
2,"general manager","general manag","general","manag",NA,NA,NA
5,"assistant to the general manager","assist to the general manag","assist","general","manag",NA,NA
1,"technician","technician","technician",NA,NA,NA,NA
1,"technician","technician","technician",NA,NA,NA,NA
2,"technical director","technic director","technic","director",NA,NA,NA
1,"nurse","nurs","nurs",NA,NA,NA,NA
1,"operator","oper","oper",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
2,"construction worker","construct worker","construct","worker",NA,NA,NA
1,"unemployed","unemploy","unemploy",NA,NA,NA,NA
2,"general workers","general worker","general","worker",NA,NA,NA
1,"waiter","waiter","waiter",NA,NA,NA,NA
2,"headhunting consultant","headhunt consult","headhunt","consult",NA,NA,NA
1,"clerk","clerk","clerk",NA,NA,NA,NA
1,"manager","manag","manag",NA,NA,NA,NA
2,"team leader","team leader","team","leader",NA,NA,NA
1,"manager","manag","manag",NA,NA,NA,NA
2,"assistant manager","assist manag","assist","manag",NA,NA,NA
2,"maintenance staff","mainten staff","mainten","staff",NA,NA,NA
1,"editor","editor","editor",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"boss","boss","boss",NA,NA,NA,NA
1,"clerk","clerk","clerk",NA,NA,NA,NA
1,"clerk","clerk","clerk",NA,NA,NA,NA
1,"freelancer","freelanc","freelanc",NA,NA,NA,NA
2,"marketing manager","market manag","market","manag",NA,NA,NA
1,"chairman","chairman","chairman",NA,NA,NA,NA
1,"designer","design","design",NA,NA,NA,NA
1,"finance","financ","financ",NA,NA,NA,NA
2,"financial manager","financi manag","financi","manag",NA,NA,NA
2,"software engineer","softwar engin","softwar","engin",NA,NA,NA
3,"director of operations","director of oper","director","oper",NA,NA,NA
1,"minister","minist","minist",NA,NA,NA,NA
2,"department manager","depart manag","depart","manag",NA,NA,NA
2,"purchasing manager","purchas manag","purchas","manag",NA,NA,NA
1,"sales","sale","sale",NA,NA,NA,NA
2,"sales executive","sale execut","sale","execut",NA,NA,NA
2,"sales representative","sale repres","sale","repres",NA,NA,NA
1,"seller","seller","seller",NA,NA,NA,NA
3,"director of sales","director of sale","director","sale",NA,NA,NA
2,"sales manager","sale manag","sale","manag",NA,NA,NA
2,"project manager","project manag","project","manag",NA,NA,NA
1,"consultant","consult","consult",NA,NA,NA,NA
1,"foreman","foreman","foreman",NA,NA,NA,NA
1,"exaggeration","exagger","exagger",NA,NA,NA,NA
1,"substitute","substitut","substitut",NA,NA,NA,NA
1,"representation","represent","represent",NA,NA,NA,NA
1,"director","director","director",NA,NA,NA,NA
1,"temple","templ","templ",NA,NA,NA,NA
1,"mover","mover","mover",NA,NA,NA,NA
1,"conductor","conductor","conductor",NA,NA,NA,NA
2,"team leader","team leader","team","leader",NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"engineer","engin","engin",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"officer","offic","offic",NA,NA,NA,NA
1,"animator","anim","anim",NA,NA,NA,NA
1,"artist","artist","artist",NA,NA,NA,NA
1,"designer","design","design",NA,NA,NA,NA
1,"engineer","engin","engin",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"officer","offic","offic",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
1,"teacher","teacher","teacher",NA,NA,NA,NA
2,"administrative assistant","administr assist","administr","assist",NA,NA,NA
2,"able seaman","abl seaman","abl","seaman",NA,NA,NA
1,"lawyer","lawyer","lawyer",NA,NA,NA,NA
1,"attorney","attorney","attorney",NA,NA,NA,NA
2,"academic advisor","academ advisor","academ","advisor",NA,NA,NA
2,"academic counselor","academ counselor","academ","counselor",NA,NA,NA
2,"academic tutor","academ tutor","academ","tutor",NA,NA,NA
1,"accounts","account","account",NA,NA,NA,NA
2,"accounts assistant","account assist","account","assist",NA,NA,NA
2,"account associate","account associ","account","associ",NA,NA,NA
2,"accounting clerk","account clerk","account","clerk",NA,NA,NA
2,"account coordinator","account coordin","account","coordin",NA,NA,NA
3,"account delivery manager","account deliveri manag","account","deliveri","manag",NA,NA
2,"account director","account director","account","director",NA,NA,NA
2,"account executive","account execut","account","execut",NA,NA,NA
3,"account management intern","account manag intern","account","manag","intern",NA,NA
2,"account manager","account manag","account","manag",NA,NA,NA
2,"accounts officer","account offic","account","offic",NA,NA,NA
2,"account representative","account repres","account","repres",NA,NA,NA
2,"account specialist","account specialist","account","specialist",NA,NA,NA
2,"account supervisor","account supervisor","account","supervisor",NA,NA,NA
1,"accountant","account","account",NA,NA,NA,NA
2,"accountant assistant","account assist","account","assist",NA,NA,NA
1,"accounting","account","account",NA,NA,NA,NA
2,"accounting analyst","account analyst","account","analyst",NA,NA,NA
2,"accounting assistant","account assist","account","assist",NA,NA,NA
2,"accounting associate","account associ","account","associ",NA,NA,NA
2,"accounting clerk","account clerk","account","clerk",NA,NA,NA
2,"accounting consultant","account consult","account","consult",NA,NA,NA
2,"accounting intern","account intern","account","intern",NA,NA,NA
2,"accounting manager","account manag","account","manag",NA,NA,NA
2,"accounting officer","account offic","account","offic",NA,NA,NA
2,"accounting specialist","account specialist","account","specialist",NA,NA,NA
2,"accounting staff","account staff","account","staff",NA,NA,NA
2,"accounting supervisor","account supervisor","account","supervisor",NA,NA,NA
2,"accounting technician","account technician","account","technician",NA,NA,NA
2,"account manager","account manag","account","manag",NA,NA,NA
1,"accounts","account","account",NA,NA,NA,NA
2,"accounts administrator","account administr","account","administr",NA,NA,NA
2,"accounts assistant","account assist","account","assist",NA,NA,NA
2,"accounting clerk","account clerk","account","clerk",NA,NA,NA
2,"account executive","account execut","account","execut",NA,NA,NA
2,"account manager","account manag","account","manag",NA,NA,NA
2,"accounts officer","account offic","account","offic",NA,NA,NA
2,"accounts payable","account payabl","account","payabl",NA,NA,NA
3,"accounts payable administrator","account payabl administr","account","payabl","administr",NA,NA
3,"accounts payable analyst","account payabl analyst","account","payabl","analyst",NA,NA
3,"accounts payable clerk","account payabl clerk","account","payabl","clerk",NA,NA
3,"accounts payable coordinator","account payabl coordin","account","payabl","coordin",NA,NA
3,"accounts payable manager","account payabl manag","account","payabl","manag",NA,NA
3,"accounts payable specialist","account payabl specialist","account","payabl","specialist",NA,NA
3,"accounts payable supervisor","account payabl supervisor","account","payabl","supervisor",NA,NA
2,"accounts receivable","account receiv","account","receiv",NA,NA,NA
3,"accounts receivable clerk","account receiv clerk","account","receiv","clerk",NA,NA
3,"accounts receivable manager","account receiv manag","account","receiv","manag",NA,NA
3,"accounts receivable specialist","account receiv specialist","account","receiv","specialist",NA,NA
3,"accounts receivable supervisor","account receiv supervisor","account","receiv","supervisor",NA,NA
1,"buyer","buyer","buyer",NA,NA,NA,NA
2,"activities coordinator","activ coordin","activ","coordin",NA,NA,NA
2,"activities director","activ director","activ","director",NA,NA,NA
2,"activity director","activ director","activ","director",NA,NA,NA
1,"actor","actor","actor",NA,NA,NA,NA
1,"actress","actress","actress",NA,NA,NA,NA
1,"actress","actress","actress",NA,NA,NA,NA
2,"actuarial analyst","actuari analyst","actuari","analyst",NA,NA,NA
2,"actuarial intern","actuari intern","actuari","intern",NA,NA,NA
1,"actuary","actuari","actuari",NA,NA,NA,NA
1,"advertising","advertis","advertis",NA,NA,NA,NA
2,"sales clerk","sale clerk","sale","clerk",NA,NA,NA
2,"sales clerk","sale clerk","sale","clerk",NA,NA,NA
2,"administrative assistant","administr assist","administr","assist",NA,NA,NA
2,"administrative assistant","administr assist","administr","assist",NA,NA,NA
2,"executive assistant","execut assist","execut","assist",NA,NA,NA
1,"adjunct","adjunct","adjunct",NA,NA,NA,NA
3,"adjunct assistant professor","adjunct assist professor","adjunct","assist","professor",NA,NA
2,"adjunct faculty","adjunct faculti","adjunct","faculti",NA,NA,NA
2,"adjunct instructor","adjunct instructor","adjunct","instructor",NA,NA,NA
2,"adjunct lecturer","adjunct lectur","adjunct","lectur",NA,NA,NA
2,"adjunct professor","adjunct professor","adjunct","professor",NA,NA,NA
2,"assistant professor","assist professor","assist","professor",NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
2,"admin assistant","admin assist","admin","assist",NA,NA,NA
2,"admin asst","admin asst","admin","asst",NA,NA,NA
2,"admin clerk","admin clerk","admin","clerk",NA,NA,NA
2,"admin executive","admin execut","admin","execut",NA,NA,NA
2,"admin manager","admin manag","admin","manag",NA,NA,NA
2,"admin officer","admin offic","admin","offic",NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
2,"network administrator","network administr","network","administr",NA,NA,NA
2,"systems administrator","system administr","system","administr",NA,NA,NA
2,"general administrator","general administr","general","administr",NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
2,"administrative assistant","administr assist","administr","assist",NA,NA,NA
2,"administrative assistant","administr assist","administr","assist",NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
2,"administration assistant","administr assist","administr","assist",NA,NA,NA
2,"administration manager","administr manag","administr","manag",NA,NA,NA
2,"administration officer","administr offic","administr","offic",NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
2,"administrative assistant","administr assist","administr","assist",NA,NA,NA
4,"administrative assistant and receptionist","administr assist and receptionist","administr","assist","receptionist",NA,NA
2,"administrative assistant","administr assist","administr","assist",NA,NA,NA
2,"administrative associate","administr associ","administr","associ",NA,NA,NA
2,"administrative clerk","administr clerk","administr","clerk",NA,NA,NA
2,"administrative coordinator","administr coordin","administr","coordin",NA,NA,NA
2,"administrative director","administr director","administr","director",NA,NA,NA
2,"administrative executive","administr execut","administr","execut",NA,NA,NA
2,"administrative intern","administr intern","administr","intern",NA,NA,NA
2,"administrative manager","administr manag","administr","manag",NA,NA,NA
2,"administrative officer","administr offic","administr","offic",NA,NA,NA
2,"administrative secretary","administr secretari","administr","secretari",NA,NA,NA
2,"administrative specialist","administr specialist","administr","specialist",NA,NA,NA
2,"administrative supervisor","administr supervisor","administr","supervisor",NA,NA,NA
2,"administrative support","administr support","administr","support",NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
2,"accounting administrative","account administr","account","administr",NA,NA,NA
2,"administrative officer","administr offic","administr","offic",NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
2,"adminstrative assistant","adminstr assist","adminstr","assist",NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
2,"admissions assistant","admiss assist","admiss","assist",NA,NA,NA
2,"admissions counselor","admiss counselor","admiss","counselor",NA,NA,NA
2,"admissions representative","admiss repres","admiss","repres",NA,NA,NA
1,"advertising","advertis","advertis",NA,NA,NA,NA
2,"advertising director","advertis director","advertis","director",NA,NA,NA
2,"advertising executive","advertis execut","advertis","execut",NA,NA,NA
2,"advertising manager","advertis manag","advertis","manag",NA,NA,NA
2,"advertising sales","advertis sale","advertis","sale",NA,NA,NA
1,"counselor","counselor","counselor",NA,NA,NA,NA
1,"counselor","counselor","counselor",NA,NA,NA,NA
2,"private adviser","privat advis","privat","advis",NA,NA,NA
1,"advisor","advisor","advisor",NA,NA,NA,NA
3,"advisory board member","advisori board member","advisori","board","member",NA,NA
1,"lawyer","lawyer","lawyer",NA,NA,NA,NA
1,"advocate","advoc","advoc",NA,NA,NA,NA
1,"lawyer","lawyer","lawyer",NA,NA,NA,NA
1,"lawyer","lawyer","lawyer",NA,NA,NA,NA
2,"department head","depart head","depart","head",NA,NA,NA
2,"department manager","depart manag","depart","manag",NA,NA,NA
2,"graduation internship","graduat internship","graduat","internship",NA,NA,NA
1,"owner","owner","owner",NA,NA,NA,NA
2,"agency manager","agenc manag","agenc","manag",NA,NA,NA
2,"agency owner","agenc owner","agenc","owner",NA,NA,NA
1,"agent","agent","agent",NA,NA,NA,NA
2,"administrative agent","administr agent","administr","agent",NA,NA,NA
2,"agent commercial","agent commerci","agent","commerci",NA,NA,NA
2,"home agent","home agent","home","agent",NA,NA,NA
1,"supervisor","supervisor","supervisor",NA,NA,NA,NA
3,"real estate agent","real estat agent","real","estat","agent",NA,NA
1,"agent","agent","agent",NA,NA,NA,NA
2,"administrative agent","administr agent","administr","agent",NA,NA,NA
2,"comercial agent","comerci agent","comerci","agent",NA,NA,NA
2,"service agent","servic agent","servic","agent",NA,NA,NA
2,"insurance agent","insur agent","insur","agent",NA,NA,NA
2,"sales agent","sale agent","sale","agent",NA,NA,NA
2,"travel agent","travel agent","travel","agent",NA,NA,NA
2,"travel agent","travel agent","travel","agent",NA,NA,NA
2,"trade agent","trade agent","trade","agent",NA,NA,NA
2,"sales agent","sale agent","sale","agent",NA,NA,NA
2,"estate agent","estat agent","estat","agent",NA,NA,NA
1,"agronomist","agronomist","agronomist",NA,NA,NA,NA
1,"agronomist","agronomist","agronomist",NA,NA,NA,NA
2,"artifical intelligence","artif intellig","artif","intellig",NA,NA,NA
2,"accounting assistant","account assist","account","assist",NA,NA,NA
1,"caregiver","caregiv","caregiv",NA,NA,NA,NA
1,"pilot","pilot","pilot",NA,NA,NA,NA
3,"air traffic controller","air traffic control","air","traffic","control",NA,NA
2,"aircraft engineer","aircraft engin","aircraft","engin",NA,NA,NA
3,"aircraft maintenance engineer","aircraft mainten engin","aircraft","mainten","engin",NA,NA
3,"aircraft maintenance technician","aircraft mainten technician","aircraft","mainten","technician",NA,NA
2,"aircraft mechanic","aircraft mechan","aircraft","mechan",NA,NA,NA
2,"aircraft technician","aircraft technician","aircraft","technician",NA,NA,NA
2,"general assistant","general assist","general","assist",NA,NA,NA
1,"builder","builder","builder",NA,NA,NA,NA
2,"managing director","manag director","manag","director",NA,NA,NA
2,"allround employee","allround employe","allround","employe",NA,NA,NA
1,"seller","seller","seller",NA,NA,NA,NA
1,"stockroom","stockroom","stockroom",NA,NA,NA,NA
1,"student","student","student",NA,NA,NA,NA
1,"housewife","housewif","housewif",NA,NA,NA,NA
1,"ambassador","ambassador","ambassador",NA,NA,NA,NA
1,"administrator","administr","administr",NA,NA,NA,NA
1,"ceo","ceo","ceo",NA,NA,NA,NA
2,"sole director","sole director","sole","director",NA,NA,NA
1,"analyst","analyst","analyst",NA,NA,NA,NA
1,"analyst","analyst","analyst",NA,NA,NA,NA
2,"administrative analyst","administr analyst","administr","analyst",NA,NA,NA
2,"environmental analyst","environment analyst","environment","analyst",NA,NA,NA
2,"commercial analyst","commerci analyst","commerci","analyst",NA,NA,NA
2,"accounting analyst","account analyst","account","analyst",NA,NA,NA
2,"accounting analyst","account analyst","account","analyst",NA,NA,NA
2,"accounting analyst","account analyst","account","analyst",NA,NA,NA
2,"quality analyst","qualiti analyst","qualiti","analyst",NA,NA,NA
2,"shopping analyst","shop analyst","shop","analyst",NA,NA,NA
2,"credit analyst","credit analyst","credit","analyst",NA,NA,NA
2,"logistics analyst","logist analyst","logist","analyst",NA,NA,NA
2,"marketing analyst","market analyst","market","analyst",NA,NA,NA
2,"pcp analyst","pcp analyst","pcp","analyst",NA,NA,NA
2,"process analyst","process analyst","process","analyst",NA,NA,NA
2,"project analyst","project analyst","project","analyst",NA,NA,NA
2,"quality analyst","qualiti analyst","qualiti","analyst",NA,NA,NA
3,"human resources analyst","human resourc analyst","human","resourc","analyst",NA,NA
2,"rh analyst","rh analyst","rh","analyst",NA,NA,NA
2,"systems analyst","system analyst","system","analyst",NA,NA,NA
2,"systems analyst","system analyst","system","analyst",NA,NA,NA
2,"support analyst","support analyst","support","analyst",NA,NA,NA
3,"technical support analyst","technic support analyst","technic","support","analyst",NA,NA
2,"test analyst","test analyst","test","analyst",NA,NA,NA
2,"it analyst","it analyst","analyst",NA,NA,NA,NA
2,"sales analyst","sale analyst","sale","analyst",NA,NA,NA
2,"financial analyst","financi analyst","financi","analyst",NA,NA,NA
2,"financial analyst","financi analyst","financi","analyst",NA,NA,NA
2,"tax analyst","tax analyst","tax","analyst",NA,NA,NA
2,"functional analyst","function analyst","function","analyst",NA,NA,NA
2,"analyst programmer","analyst programm","analyst","programm",NA,NA,NA
2,"analyst programmer","analyst programm","analyst","programm",NA,NA,NA
2,"senior analyst","senior analyst","senior","analyst",NA,NA,NA
1,"analyst","analyst","analyst",NA,NA,NA,NA
3,"analyst and programmer","analyst and programm","analyst","programm",NA,NA,NA
2,"analyst developer","analyst develop","analyst","develop",NA,NA,NA
2,"analyst intern","analyst intern","analyst","intern",NA,NA,NA
2,"analyst programs","analyst program","analyst","program",NA,NA,NA
2,"analyst developer","analyst develop","analyst","develop",NA,NA,NA
2,"financial analyst","financi analyst","financi","analyst",NA,NA,NA
2,"analyst programmer","analyst programm","analyst","programm",NA,NA,NA
2,"analytical chemist","analyt chemist","analyt","chemist",NA,NA,NA
2,"android developer","android develop","android","develop",NA,NA,NA
1,"anesthesiologist","anesthesiologist","anesthesiologist",NA,NA,NA,NA
1,"employee","employe","employe",NA,NA,NA,NA
1,"employee","employe","employe",NA,NA,NA,NA
1,"animator","anim","anim",NA,NA,NA,NA
1,"animator","anim","anim",NA,NA,NA,NA
1,"animator","anim","anim",NA,NA,NA,NA
1,"retired","retir","retir",NA,NA,NA,NA
1,"retired","retir","retir",NA,NA,NA,NA
2,"application analyst","applic analyst","applic","analyst",NA,NA,NA
2,"application consultant","applic consult","applic","consult",NA,NA,NA
2,"application developer","applic develop","applic","develop",NA,NA,NA
2,"application engineer","applic engin","applic","engin",NA,NA,NA
2,"application manager","applic manag","applic","manag",NA,NA,NA
2,"application programmer","applic programm","applic","programm",NA,NA,NA
2,"application specialist","applic specialist","applic","specialist",NA,NA,NA
3,"application support analyst","applic support analyst","applic","support","analyst",NA,NA
3,"application support engineer","applic support engin","applic","support","engin",NA,NA
2,"application developer","applic develop","applic","develop",NA,NA,NA
2,"application engineer","applic engin","applic","engin",NA,NA,NA
2,"appointment setter","appoint setter","appoint","setter",NA,NA,NA
1,"appraiser","apprais","apprais",NA,NA,NA,NA
1,"apprentice","apprentic","apprentic",NA,NA,NA,NA
1,"apprentice","apprentic","apprentic",NA,NA,NA,NA
2,"apprentice electrician","apprentic electrician","apprentic","electrician",NA,NA,NA
1,"apprenticeship","apprenticeship","apprenticeship",NA,NA,NA,NA
1,"apprentice","apprentic","apprentic",NA,NA,NA,NA
1,"supervisor","supervisor","supervisor",NA,NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
2,"architectural assistant","architectur assist","architectur","assist",NA,NA,NA
2,"architectural designer","architectur design","architectur","design",NA,NA,NA
2,"architectural intern","architectur intern","architectur","intern",NA,NA,NA
3,"architectural project manager","architectur project manag","architectur","project","manag",NA,NA
2,"architectural technician","architectur technician","architectur","technician",NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
1,"archivist","archivist","archivist",NA,NA,NA,NA
1,"archivist","archivist","archivist",NA,NA,NA,NA
1,"archivist","archivist","archivist",NA,NA,NA,NA
3,"area business manager","area busi manag","area","busi","manag",NA,NA
2,"area coordinator","area coordin","area","coordin",NA,NA,NA
2,"area director","area director","area","director",NA,NA,NA
2,"area manager","area manag","area","manag",NA,NA,NA
3,"area sales executive","area sale execut","area","sale","execut",NA,NA
3,"area sales manager","area sale manag","area","sale","manag",NA,NA
3,"area sales representative","area sale repres","area","sale","repres",NA,NA
2,"area supervisor","area supervisor","area","supervisor",NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
3,"armed security officer","arm secur offic","arm","secur","offic",NA,NA
1,"army","armi","armi",NA,NA,NA,NA
2,"army officer","armi offic","armi","offic",NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
2,"technical architect","technic architect","technic","architect",NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
1,"architect","architect","architect",NA,NA,NA,NA
2,"art director","art director","art","director",NA,NA,NA
2,"art instructor","art instructor","art","instructor",NA,NA,NA
2,"art teacher","art teacher","art","teacher",NA,NA,NA
2,"art therapist","art therapist","art","therapist",NA,NA,NA
2,"article assistant","articl assist","articl","assist",NA,NA,NA
2,"article clerk","articl clerk","articl","clerk",NA,NA,NA
2,"article trainee","articl traine","articl","traine",NA,NA,NA
2,"article assistant","articl assist","articl","assist",NA,NA,NA
2,"artifical intelligence","artif intellig","artif","intellig",NA,NA,NA
1,"artisan","artisan","artisan",NA,NA,NA,NA
1,"artisan","artisan","artisan",NA,NA,NA,NA
1,"artist","artist","artist",NA,NA,NA,NA
3,"artist in residence","artist in resid","artist","resid",NA,NA,NA
1,"artist","artist","artist",NA,NA,NA,NA
1,"artist","artist","artist",NA,NA,NA,NA
1,"painter","painter","painter",NA,NA,NA,NA
2,"artistic director","artist director","artist","director",NA,NA,NA
1,"doctor","doctor","doctor",NA,NA,NA,NA
1,"adviser","advis","advis",NA,NA,NA,NA
2,"business advisor","busi advisor","busi","advisor",NA,NA,NA
2,"sales advisor","sale advisor","sale","advisor",NA,NA,NA
6,"computer advisor it and technology matters","comput advisor it and technolog matter","comput","advisor","technolog","matter",NA
2,"financial advisor","financi advisor","financi","advisor",NA,NA,NA
3,"real estate advisor","real estat advisor","real","estat","advisor",NA,NA
2,"legal advisor","legal advisor","legal","advisor",NA,NA,NA
1,"adviser","advis","advis",NA,NA,NA,NA
2,"business advisor","busi advisor","busi","advisor",NA,NA,NA
2,"sales advisor","sale advisor","sale","advisor",NA,NA,NA
1,"assistant","assist","assist",NA,NA,NA,NA
2,"administrative assistant","administr assist","administr","assist",NA,NA,NA
2,"administrative assistant","administr assist","administr","assist",NA,NA,NA
2,"commercial assistant","commerci assist","commerci","assist",NA,NA,NA
2,"accounting assistant","account assist","account","assist",NA,NA,NA
2,"accounting assistant","account assist","account","assist",NA,NA,NA
2,"management assistant","manag assist","manag","assist",NA,NA,NA
2,"management assistant","manag assist","manag","assist",NA,NA,NA
2,"research assistant","research assist","research","assist",NA,NA,NA
2,"marketing assistant","market assist","market","assist",NA,NA,NA
2,"operations assistant","oper assist","oper","assist",NA,NA,NA
2,"production assistant","product assist","product","assist",NA,NA,NA
2,"production assistant","product assist","product","assist",NA,NA,NA
3,"assistant human resources","assist human resourc","assist","human","resourc",NA,NA
2,"sales assistant","sale assist","sale","assist",NA,NA,NA
2,"legal assistant","legal assist","legal","assist",NA,NA,NA
1,"associate","associ","associ",NA,NA,NA,NA
1,"assembler","assembl","assembl",NA,NA,NA,NA
3,"assembly line worker","assembl line worker","assembl","line","worker",NA,NA
2,"assembly technician","assembl technician","assembl","technician",NA,NA,NA
1,"assessor","assessor","assessor",NA,NA,NA,NA
