to,n,from
assurance associate,2,assurance associate
insurance intern,2,assurance intern
customer support,2,atencion al cliente
customer support,2,atención al cliente
clerk,1,atendente
commercial attendant,2,atendente comercial
attendance,1,atendimento
customer service,2,atendimento ao cliente
athlete,1,athlete
athletic director,2,athletic director
athletic trainer,2,athletic trainer
commercial attach,2,attaché commercial
commercial attach,2,attachée commerciale
attendee,1,attendee
attorney,1,attorney
attorney at law,3,attorney at law
au pair,2,au pair
audio engineer,2,audio engineer
audio visual technician,3,audio visual technician
radiologist,1,audiologist
auditor,1,audit
audit assistant,2,audit assistant
audit associate,2,audit associate
intern auditor,2,audit intern
audit manager,2,audit manager
senior auditor,2,audit senior
audit supervisor,2,audit supervisor
audit trainee,2,audit trainee
auditor,1,auditor
intern auditor,2,auditor interno
auditor,1,auditora
apprentice,1,auszubildender
author,1,auteur
author,1,author
auto technician,2,auto technician
automation engineer,2,automation engineer
automotive technician,2,automotive technician
independent,1,autonoma
autonomous,1,autonomo
autonomous,1,autónomo
autonomous,1,autônomo
administrative assistant,2,aux administrativo
administrative assistant,2,aux. administrativo
holiday assistant,2,auxiliaire de vacances
assistant,1,auxiliar
administrative assistant,2,auxiliar administrativa
administrative assistant,2,auxiliar administrativo
accounting assistant,2,auxiliar contabil
accounting assistant,2,auxiliar contábil
accounting assistant,2,auxiliar contable
assistant,1,auxiliar de caja
purchasing assistant,2,auxiliar de compras
accounting clerk,2,auxiliar de contabilidad
accounting clerk,2,auxiliar de contabilidade
personal assistant,2,auxiliar de departamento pessoal
nursing assistant,2,auxiliar de enfermagem
nursing assistant,2,auxiliar de enfermeria
office assistant,2,auxiliar de escritorio
office assistant,2,auxiliar de escritório
pharmacy assistant,2,auxiliar de farmacia
laboratory assistant,2,auxiliar de laboratorio
production assistant,2,auxiliar de produção
human resources assistant,3,auxiliar de recursos humanos
sales assistant,2,auxiliar de vendas
financial assistant,2,auxiliar financeiro
assistant coach,2,auxiliar técnico
department manager,2,avdelingsleder
avionics technician,2,avionics technician
advocate,1,avocat
advocate,1,avocate
attorney,1,avukat
lawyer,1,avvocato
assistant,1,ayudante
kitchen assistant,2,ayudante de cocina
production assistant,2,ayudante de producción
business analyst,1,ba
babysitter,1,babysitter
bachelor student,2,bachelor student
back office,2,back office
banker,1,baker
clerk,1,balconista
band director,2,band director
bank,1,bank
bank manager,2,bank manager
bank officer,2,bank officer
bank counts,2,bank teller
banker,1,banker
banking,1,banking
banquet manager,2,banquet manager
banquet server,2,banquet server
bar manager,2,bar manager
bar staff,2,bar staff
bar supervisor,2,bar supervisor
bartender,1,bar tender
barber,1,barber
barista,1,barista
bartender,1,barman
nanny,1,barnskötare
barrister,1,barrister
bartender,1,bartender
bartender and server,3,bartender and server
bassist,1,bassist
business development,1,bd
beauty advisor,2,beauty advisor
beauty consultant,2,beauty consultant
beauty therapist,2,beauty therapist
intern,1,becaria
scholar,1,becario
clerk,1,bediende
service,1,bediening
company director,2,bedrijfsleider
mentor,1,begeleider
behavior therapist,2,behavior therapist
police officer,2,beleidsmedewerker
benefits administrator,2,benefits administrator
benefits analyst,2,benefits analyst
benefits consultant,2,benefits consultant
benefits specialist,2,benefits specialist
board member,2,bestuurslid
business intelligence,1,bi
it consultant,2,bi consultant
librarian,1,bibliotecaria
bid manager,2,bid manager
bilingual customer service representative,4,bilingual customer service representative
biller,1,biller
billing analyst,2,billing analyst
billing clerk,2,billing clerk
billing coordinator,2,billing coordinator
billing manager,2,billing manager
billing specialist,2,billing specialist
drilling supervisor,2,billing supervisor
biologist,1,biologist
biologist,1,biologo
biologist,1,biólogo
biomedical engineer,2,biomedical engineer
bishop,1,bishop
blogger,1,blogger
board director,2,board director
board member,2,board member
board of directors,3,board of directors
boilermaker,1,boilermaker
stock exchange,2,bolsista
fellowship of scientific initiation,4,bolsista de iniciação científica
bookkeeper,1,book keeper
bookkeeper,1,bookkeeper
bookseller,1,bookseller
boss,1,boss
box office assistant,3,box office assistant
box office manager,3,box office manager
branch administrator,2,branch administrator
branch head,2,branch head
branch manager,2,branch manager
branch operations manager,3,branch operations manager
branch sales manager,3,branch sales manager
brand ambassador,2,brand ambassador
brand executive,2,brand executive
brand manager,2,brand manager
brand representative,2,brand representative
brewmaster,1,brewmaster
bricklayer,1,bricklayer
broadcast engineer,2,broadcast engineer
broadcast journalist,2,broadcast journalist
broker,1,broker
broker and owner,3,broker and owner
broker associate,2,broker associate
broker owner,2,broker owner
bss engineer,2,bss engineer
budget analyst,2,budget analyst
builder,1,builder
building engineer,2,building engineer
billing manager,2,building manager
building surveyor,2,building surveyor
bus driver,2,bus driver
busboy,1,busboy
business,1,business
business account executive,3,business account executive
business account manager,3,business account manager
business administrator,2,business administrator
business advisor,2,business advisor
business analyst,2,business analyst
business assistant,2,business assistant
business associate,2,business associate
business banker,2,business banker
business broker,2,business broker
business consultant,2,business consultant
business controller,2,business controller
business development,2,business developer
business development,2,business development
business development analyst,3,business development analyst
business development assistant,3,business development assistant
business development associate,3,business development associate
business development consultant,3,business development consultant
business development coordinator,3,business development coordinator
business development director,3,business development director
business development executive,3,business development executive
business development intern,3,business development intern
business development manager,3,business development manager
business development officer,3,business development officer
business development representative,3,business development representative
business development specialist,3,business development specialist
business director,2,business director
business executive,2,business executive
business head,2,business head
business intelligence analyst,3,business intelligence analyst
business intelligence consultant,3,business intelligence consultant
business manager,2,business manager
business office manager,3,business office manager
business operations manager,3,business operations manager
business owner,2,business owner
business partner,2,business partner
business process analyst,3,business process analyst
business process consultant,3,business process consultant
business relationship manager,3,business relationship manager
business specialist,2,business specialist
business support manager,3,business support manager
business support officer,3,business support officer
business systems analyst,3,business system analyst
business systems analyst,3,business systems analyst
business systems consultant,3,business systems consultant
business technology analyst,3,business technology analyst
business unit manager,3,business unit manager
businessman,1,businessman
busser,1,busser
bussiness,1,bussiness
butcher,1,butcher
shop assistant,2,butikkmedarbeider
store clerk,2,butiksbiträde
store manager,2,butikschef
shop sales,2,butikssäljare
buyer,1,buyer
buyer and planner,3,buyer and planner
building constructor,2,bygningskonstruktør
ceo,1,c e o
ceo,1,c.e.o
ceo,1,c.e.o.
cpp,1,c++
cpp developer,2,c++ developer
cabin crew,2,cabin crew
cabinet maker,2,cabinet maker
cad designer,2,cad designer
cad drafter,2,cad drafter
cad engineer,2,cad engineer
cad operator,2,cad operator
fall technician,2,cad technician
sales executive,2,cadre commercial
cashier,1,caixa
cashier,1,cajera
cashier,1,cajero
cake decorator,2,cake decorator
calculator,1,calculator
calibration technician,2,calibration technician
call center,2,call center
call center agent,3,call center agent
call center manager,3,call center manager
call center representative,3,call center representative
call center supervisor,3,call center supervisor
callcenter agent,2,callcenter agent
waitress,1,camarera
waiter,1,camarero
camera operator,2,camera operator
cameraman,1,cameraman
waitress,1,cameriera
campaign counselor,2,camp counselor
campaign director,2,camp director
campaign manager,2,campaign manager
campus ambassador,2,campus ambassador
campus representative,2,campus representative
candidate attorney,2,candidate attorney
captain,1,captain
radiologist,1,cardiologist
care assistant,2,care assistant
care coordinator,2,care coordinator
caregiver,1,care giver
case manager,2,care manager
care provider,2,care provider
career counselor,2,career counselor
caregiver,1,caregiver
carer,1,carer
caretaker,1,caretaker
operator,1,cariste
carpenter,1,carpenter
case manager,2,case manager
caseworker,1,case worker
caseworker,1,caseworker
case manager,2,cash manager
cashier,1,cashier
cashier customer service,3,cashier customer service
cast,1,cast
cast member,2,cast member
professor,1,catedrático
category manager,2,category manager
caterer,1,caterer
catering,1,catering
catering assistant,2,catering assistant
catering manager,2,catering manager
cce,1,cce
center director,2,center director
center manager,2,center manager
center manager,2,centre manager
ceo,1,ceo
ceo  and  founder,5,ceo  and  co-founder
ceo  and  founder,5,ceo  and  founder
ceo and founder,3,ceo and founder
ceo and owner,3,ceo and owner
ceo and president,3,ceo and president
certified legal intern,3,certified legal intern
certified massage therapist,3,certified massage therapist
certified medical assistant,3,certified medical assistant
certified nursing assistant,3,certified nursing assistant
certified personal trainer,3,certified personal trainer
certified pharmacy technician,3,certified pharmacy technician
certified public accountant,3,certified public accountant
cfo,1,cfo
chairman,1,chair
chairman,1,chairman
chairman  and  ceo,5,chairman  and  ceo
chairman of the board,4,chairman of the board
chairperson,1,chairperson
change manager,2,change manager
channel manager,2,channel manager
chaplain,1,chaplain
chapter president,2,chapter president
character animator,2,character animator
business manager,2,chargé d'affaires
leader,4,chargé d'études
account manager,2,chargé de clientèle
communications officer,2,chargé de communication
lecturer,1,chargé de cours
mission leader,2,chargé de mission
project manager,2,chargé de projet
project manager,2,chargé de projets
charge nurse,2,charge nurse
responsible for customer,3,chargée de clientèle
communications officer,2,chargée de communication
mission leader,2,chargée de mission
project manager,2,chargée de projets
responsible for recruitment,3,chargée de recrutement
chartered accountant,2,chartered accountant
driver,1,chauffeur
chief,1,chef
chief accountant,2,chef comptable
entrepreneur,1,chef d'entreprise
leader,1,chef d'équipe
chief,1,chef de cuisine
head of mission,3,chef de mission
party leader,2,chef de partie
product manager,2,chef de produit
project manager,2,chef de projet
project manager,2,chef de projets
head waiter,2,chef de rang
business leader,2,chef de secteur
head of service,3,chef de service
head of sales,3,chef des ventes
executive chef,2,chef ejecutivo
chemical engineer,2,chemical engineer
chemist,1,chemist
chemistry teacher,2,chemistry teacher
searcher,1,chercheur
chief,1,chief
chief accountant,2,chief accountant
chief architect,2,chief architect
chief commercial officer,3,chief commercial officer
chief engineer,2,chief engineer
chief executive,2,chief executive
ceo,3,chief executive officer
cfo,3,chief financial officer
chief information officer,3,chief information officer
chief manager,2,chief manager
chief marketing officer,3,chief marketing officer
chief medical officer,3,chief medical officer
chief of police,3,chief of police
chief of staff,3,chief of staff
chief officer,2,chief officer
coo,3,chief operating officer
coo,3,chief operations officer
chief technical officer,3,chief technical officer
chief technology officer,3,chief technology officer
child care,2,child care
childcare provider,2,child care provider
child care worker,3,child care worker
childcare provider,2,childcare provider
chinese teacher,2,chinese teacher
chiropractic assistant,2,chiropractic assistant
chiropractor,1,chiropractor
driver,1,chofer
choreographer,1,choreographer
cinematographer,1,cinematographer
cio,1,cio
dental surgeon,2,cirujano dentista
dental surgeon,2,cirurgiã dentista
dental surgeon,2,cirurgião dentista
city manager,2,city manager
civil,1,civil
civil designer,2,civil designer
civil engineer,2,civil engineer
civil engineering intern,3,civil engineering intern
civil servant,2,civil servant
claims adjuster,2,claims adjuster
claims analyst,2,claims analyst
claims assistant,2,claims assistant
claims consultant,2,claims consultant
claims examiner,2,claims examiner
claims manager,2,claims manager
claims officer,2,claims officer
claims representative,2,claims representative
