"","str","to","n"
"4419","<U+043F><U+0441><U+0438><U+0445><U+043E><U+043B><U+043E><U+0433>","psychologist",1
"3085","<U+0440><U+0435><U+0433><U+0438><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+044B><U+0439> <U+043C><U+0435><U+043D><U+0435><U+0434><U+0436><U+0435><U+0440>","regional manager",2
"726","<U+0440><U+0443><U+043A><U+043E><U+0432><U+043E><U+0434><U+0438><U+0442><U+0435><U+043B><U+044C>","head",1
"3086","<U+0440><U+0443><U+043A><U+043E><U+0432><U+043E><U+0434><U+0438><U+0442><U+0435><U+043B><U+044C> <U+043E><U+0442><U+0434><U+0435><U+043B><U+0430> <U+043F><U+0440><U+043E><U+0434><U+0430><U+0436>","sales manager",2
"4092","<U+0440><U+0443><U+043A><U+043E><U+0432><U+043E><U+0434><U+0438><U+0442><U+0435><U+043B><U+044C> <U+043F><U+0440><U+043E><U+0435><U+043A><U+0442><U+0430>","project manager",2
"1447","<U+0441><U+0438><U+0441><U+0442><U+0435><U+043C><U+043D><U+044B><U+0439> <U+0430><U+0434><U+043C><U+0438><U+043D><U+0438><U+0441><U+0442><U+0440><U+0430><U+0442><U+043E><U+0440>","system administrator",2
"1406","<U+0441><U+043F><U+0435><U+0446><U+0438><U+0430><U+043B><U+0438><U+0441><U+0442>","specialist",1
"4810","<U+0442><U+0435><U+0440><U+0440><U+0438><U+0442><U+043E><U+0440><U+0438><U+0430><U+043B><U+044C><U+043D><U+044B><U+0439> <U+043C><U+0435><U+043D><U+0435><U+0434><U+0436><U+0435><U+0440>","territorial manager",2
"3522","<U+0442><U+0435><U+0445><U+043D><U+0438><U+0447><U+0435><U+0441><U+043A><U+0438><U+0439> <U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440>","technical director",2
"4811","<U+0443><U+043F><U+0440><U+0430><U+0432><U+043B><U+044F><U+044E><U+0449><U+0438><U+0439>","manager",1
"3523","<U+0443><U+043F><U+0440><U+0430><U+0432><U+043B><U+044F><U+044E><U+0449><U+0438><U+0439> <U+0434><U+0438><U+0440><U+0435><U+043A><U+0442><U+043E><U+0440>","managing director",2
"1669","<U+0443><U+0447><U+0438><U+0442><U+0435><U+043B><U+044C>","teacher",1
"1954","<U+044D><U+043A><U+043E><U+043D><U+043E><U+043C><U+0438><U+0441><U+0442>","economist",1
"2123","<U+044E><U+0440><U+0438><U+0441><U+0442>","lawyer",1
"3783","<U+0645><U+062D><U+0627><U+0633><U+0628>","accountant",1
"4812","<U+0645><U+062F><U+064A><U+0631>","manager",1
"4813","<U+0645><U+0647><U+0646><U+062F><U+0633>","engineer",1
"4093","<U+306A><U+3057>","none",1
"4814","<U+4E1A><U+52A1>","business",1
"1353","<U+4E1A><U+52A1><U+5458>","salesman",1
"810","<U+4E1A><U+52A1><U+7ECF><U+7406>","business manager",2
"1448","<U+4E2A><U+4F53><U+7ECF><U+8425>","self employed",2
"1670","<U+4E3B><U+4EFB>","director",1
"602","<U+4E3B><U+7BA1>","supervisor",1
"2124","<U+4EA7><U+54C1><U+7ECF><U+7406>","product manager",2
"2222","<U+4EE3><U+8868>","representative",1
"2223","<U+4EE3><U+8868><U+53D6><U+7DE0><U+5F79>","ceo",1
"2593","<U+4F1A><U+8BA1>","accounting",1
"1038","<U+526F><U+603B><U+7ECF><U+7406>","deputy general manager",3
"4420","<U+526F><U+7ECF><U+7406>","deputy manager",2
"4815","<U+52A9><U+7406>","assistant manager",2
"3784","<U+52A9><U+7406><U+5DE5><U+7A0B><U+5E08>","assistant engineer",2
"2742","<U+533A><U+57DF><U+7ECF><U+7406>","regional manager",2
"3785","<U+533B><U+751F>","doctor",1
"3087","<U+53A8><U+5E08>","chief",1
"2462","<U+53F8><U+673A>","driver",1
"4421","<U+5408><U+4F19><U+4EBA>","partner",1
"536","<U+5458><U+5DE5>","staff",1
"2328","<U+5916><U+8D38><U+4E1A><U+52A1><U+5458>","foreign trade clerk",3
"2743","<U+5B66><U+751F>","student",1
"2594","<U+5B9E><U+4E60><U+751F>","intern",1
"1020","<U+5BA2><U+6237><U+7ECF><U+7406>","account manager",2
"4816","<U+5BA2><U+670D>","customer service",2
"1612","<U+5DE5><U+4EBA>","worker",1
"537","<U+5DE5><U+7A0B><U+5E08>","engineer",1
"3088","<U+5DE5><U+7A0B><U+5E2B>","engineer",1
"4817","<U+5E97><U+4E3B>","owner",1
"1723","<U+5E97><U+957F>","store manager",2
"4818","<U+5FAE><U+5546>","micro-business",1
"1797","<U+603B><U+76D1>","director",1
"235","<U+603B><U+7ECF><U+7406>","general manager",2
"2224","<U+603B><U+7ECF><U+7406><U+52A9><U+7406>","assistant to the general manager",5
"2595","<U+6280><U+672F><U+5458>","technician",1
"4422","<U+6280><U+672F><U+5458><U+5DE5>","technician",1
"4819","<U+6280><U+672F><U+603B><U+76D1>","technical director",2
"4094","<U+62A4><U+58EB>","nurse",1
"4820","<U+64CD><U+4F5C><U+5DE5>","operator",1
"1212","<U+6559><U+5E08>","teacher",1
"4423","<U+65BD><U+5DE5><U+5458>","construction worker",2
"3089","<U+65E0><U+5DE5><U+4F5C>","no work",2
"4424","<U+666E><U+5DE5>","general workers",2
"3090","<U+670D><U+52A1><U+5458>","waiter",1
"3091","<U+730E><U+5934><U+987E><U+95EE>","headhunting consultant",2
"2596","<U+79D1><U+5458>","clerk",1
"3092","<U+7D93><U+7406>","manager",1
"4821","<U+7EC4><U+957F>","team leader",2
"100","<U+7ECF><U+7406>","manager",1
"2919","<U+7ECF><U+7406><U+52A9><U+7406>","assistant manager",2
"4095","<U+7EF4><U+62A4><U+5458>","maintenance staff",2
"4096","<U+7F16><U+8F91>","edit",1
"3524","<U+8001><U+5E08>","teacher",1
"1613","<U+8001><U+677F>","boss",1
"754","<U+804C><U+5458>","staff",1
"2744","<U+804C><U+5DE5>","staff",1
"1237","<U+81EA><U+7531><U+804C><U+4E1A>","freelancer",1
"4097","<U+8425><U+9500><U+7ECF><U+7406>","marketing manager",2
"1310","<U+8463><U+4E8B><U+957F>","chairman",1
"1614","<U+8BBE><U+8BA1><U+5E08>","designer",1
"3285","<U+8D22><U+52A1>","finance",1
"4425","<U+8D22><U+52A1><U+7ECF><U+7406>","financial manager",2
"4098","<U+8F6F><U+4EF6><U+5DE5><U+7A0B><U+5E08>","software engineer",2
"4822","<U+8FD0><U+8425><U+603B><U+76D1>","director of operations",3
"4426","<U+90E8><U+9577>","minister",1
"2597","<U+90E8><U+95E8><U+7ECF><U+7406>","department manager",2
"3525","<U+91C7><U+8D2D><U+7ECF><U+7406>","purchasing manager",2
"1354","<U+9500><U+552E>","sales",1
"3786","<U+9500><U+552E><U+4E3B><U+7BA1>","sales executive",2
"1798","<U+9500><U+552E><U+4EE3><U+8868>","sales representative",2
"3286","<U+9500><U+552E><U+5458>","seller",1
"2329","<U+9500><U+552E><U+603B><U+76D1>","director of sales",3
"481","<U+9500><U+552E><U+7ECF><U+7406>","sales manager",2
"695","<U+9879><U+76EE><U+7ECF><U+7406>","project manager",2
"4099","<U+987E><U+95EE>","consultant",1
"2745","<U+9886><U+73ED>","foreman",1
"1799","<U+ACFC><U+C7A5>","exaggeration",1
"1355","<U+B300><U+B9AC>","substitute",1
"2598","<U+B300><U+D45C>","representation",1
"1724","<U+BD80><U+C7A5>","director",1
"1671","<U+C0AC><U+C6D0>","temple",1
"3787","<U+C774><U+C0AC>","move",1
"1874","<U+CC28><U+C7A5>","conductor",1
"4427","<U+D300><U+C7A5>","team leader",2
"3287","1st grade teacher","1st grade teacher",3
"3288","2nd engineer","2nd engineer",2
"3526","2nd grade teacher","2nd grade teacher",3
"3789","2nd officer","2nd officer",2
"3093","3d animator","3d animator",2
"1449","3d artist","3d artist",2
"3790","3d designer","3d designer",2
"3527","3rd engineer","r&d engineer",2
"2125","3rd grade teacher","3rd grade teacher",3
"4100","3rd officer","3rd officer",2
"2746","4th grade teacher","4th grade teacher",3
"3528","5th grade teacher","4th grade teacher",3
"3530","able seaman","able seaman",2
"379","abogada","lawyer",1
"238","abogado","attorney",1
"2463","academic advisor","academic advisor",2
"4101","academic counselor","academic counselor",2
"1875","academic tutor","academic tutor",2
"1039","account","accounts",1
"1162","account assistant","accounts assistant",2
"4102","account associate","account associate",2
"4428","account clerk","accounting clerk",2
"526","account coordinator","account coordinator",2
"4823","account delivery manager","account delivery manager",3
"279","account director","account director",2
"28","account executive","account executive",2
"3095","account management intern","account management intern",3
"14","account manager","account manager",2
"1311","account officer","accounts officer",2
"787","account representative","account representative",2
"1725","account specialist","account specialist",2
"965","account supervisor","account supervisor",2
"20","accountant","accountant",1
"2330","accountant assistant","accountant assistant",2
"343","accounting","accounting",1
"1800","accounting analyst","accounting analyst",2
"299","accounting assistant","accounting assistant",2
"3290","accounting associate","accounting associate",2
"467","accounting clerk","accounting clerk",2
"4103","accounting consultant","accounting consultant",2
"674","accounting intern","accounting intern",2
"257","accounting manager","accounting manager",2
"3291","accounting officer","accounting officer",2
"1955","accounting specialist","accounting specialist",2
"2037","accounting staff","accounting staff",2
"989","accounting supervisor","accounting supervisor",2
"2747","accounting technician","accounting technician",2
"778","accountmanager","account manager",2
"538","accounts","accounts",1
"3792","accounts administrator","accounts administrator",2
"431","accounts assistant","accounts assistant",2
"1492","accounts clerk","accounting clerk",2
"696","accounts executive","account executive",2
"506","accounts manager","account manager",2
"827","accounts officer","accounts officer",2
"738","accounts payable","accounts payable",2
"4429","accounts payable administrator","accounts payable administrator",3
"4430","accounts payable analyst","accounts payable analyst",3
"909","accounts payable clerk","accounts payable clerk",3
"3096","accounts payable coordinator","accounts payable coordinator",3
"1551","accounts payable manager","accounts payable manager",3
"1141","accounts payable specialist","accounts payable specialist",3
"4824","accounts payable supervisor","accounts payable supervisor",3
"1080","accounts receivable","accounts receivable",2
"2464","accounts receivable clerk","accounts receivable clerk",3
"3793","accounts receivable manager","accounts receivable manager",3
"1956","accounts receivable specialist","accounts receivable specialist",3
"4431","accounts receivable supervisor","accounts receivable supervisor",3
"3794","acheteur","buyer",1
"3292","activities coordinator","activities coordinator",2
"4825","activities director","activities director",2
"4826","activity director","activity director",2
"274","actor","actor",1
"1040","actress","actress",1
"2126","actriz","actress",1
"2599","actuarial analyst","actuarial analyst",2
"4104","actuarial intern","actuarial intern",2
"4105","actuary","actuary",1
"2920","ad","to",1
"4827","addetta alle vendite","sales clerk",2
"2331","addetto alle vendite","sales clerk",2
"2600","adjoint administratif","administrative assistant",2
"2332","adjointe administrative","administrative assistant",2
"4828","adjointe de direction","executive assistant",2
"4829","adjunct","adjunct",1
"2748","adjunct assistant professor","adjunct assistant professor",3
"461","adjunct faculty","adjunct faculty",2
"575","adjunct instructor","adjunct instructor",2
"3795","adjunct lecturer","adjunct lecturer",2
"206","adjunct professor","adjunct professor",2
"4106","adjunkt","assistant professor",2
"2127","adm","adm",1
"215","admin","admin",1
"527","admin assistant","admin assistant",2
"2465","admin asst","admin asst",2
"2128","admin clerk","admin clerk",2
"3097","admin executive","admin executive",2
"1726","admin manager","admin manager",2
"1493","admin officer","admin officer",2
"944","administracion","administrative",1
"1957","administración","administrative",1
"114","administrador","administrator",1
"2601","administrador de redes","network administrator",2
"1958","administrador de sistemas","systems administrator",2
"4830","administrador general","general administrator",2
"397","administradora","administrator",1
"4432","administrasi","administration",1
"755","administrateur","administrator",1
"566","administratief medewerker","administrative assistant",2
"1494","administratief medewerkster","administrative assistant",2
"387","administration","administrative",1
"1021","administration assistant","administration assistant",2
"844","administration manager","administration manager",2
"1356","administration officer","administration officer",2
"207","administrativa","administrative",1
"1278","administrative","administrative",1
"13","administrative assistant","administrative assistant",2
"3531","administrative assistant ii","administrative assistant",2
"4831","administrative assistant/receptionist","administrative assistant/receptionist",2
"2466","administrative associate","administrative associate",2
"1615","administrative clerk","administrative clerk",2
"945","administrative coordinator","administrative coordinator",2
"2749","administrative director","administrative director",2
"4107","administrative executive","administrative executive",2
"1357","administrative intern","administrative intern",2
"739","administrative manager","administrative manager",2
"779","administrative officer","administrative officer",2
"1142","administrative secretary","administrative secretary",2
"1495","administrative specialist","administrative specialist",2
"3796","administrative supervisor","administrative supervisor",2
"2467","administrative support","administrative support",2
"132","administrativo","administrative",1
"2602","administrativo contable","accounting administrative",2
"2603","administrativo de oficina","administrative officer",2
"61","administrator","administrator",1
"4832","administratör","administrator",1
"2750","adminstrative assistant","adminstrative assistant",2
"4833","adminstrator","administrator",1
"3797","admissions assistant","admissions assistant",2
"2604","admissions counselor","admissions counselor",2
"2225","admissions representative","admissions representative",2
"3532","advertising","advertising",1
"4834","advertising director","advertising director",2
"4433","advertising executive","advertising executive",2
"1959","advertising manager","advertising manager",2
"3798","advertising sales","advertising sales",2
"1450","adviser","counselor",1
"1056","adviseur","counselor",1
"4835","adviseur particulieren","private adviser",2
"324","advisor","advisor",1
"1552","advisory board member","advisory board member",3
"2605","advocaat","lawyer",1
"740","advocate","advocate",1
"446","advogada","lawyer",1
"272","advogado","lawyer",1
"4108","ae","ae",1
"4836","afdelingshoofd","department head",2
"4109","afdelingsleder","department manager",2
"4110","affiliate","affiliate",1
"3533","afstudeerstage","graduation internship",2
"2921","ägare","owner",1
"2129","agency manager","agency manager",2
"3293","agency owner","agency owner",2
"159","agent","agent",1
"2468","agent administratif","administrative agent",2
"1876","agent commercial","agent commercial",2
"4111","agent d'accueil","home agent",2
"4837","agent de maitrise","agent-control",1
"4434","agent immobilier","real estate agent",3
"910","agente","agent",1
"3098","agente administrativo","administrative agent",2
"3099","agente comercial","comercial agent",2
"4838","agente de atendimento","service agent",2
"3100","agente de seguros","insurance agent",2
"3101","agente de ventas","sales agent",2
"4839","agente de viagens","travel agent",2
"3534","agente de viajes","travel agent",2
"845","agente di commercio","trade agent",2
"2751","agente di vendita","sales agent",2
"4840","agente inmobiliario","estate agent",2
"2469","agm","agm",1
"3294","agronomist","agronomist",1
"4841","agronomo","agronomist",1
"3799","aide comptable","accounting assistant",2
"3295","aide soignante","caregiver",1
"3800","air diver","air diver",2
"1553","air traffic controller","air traffic controller",3
"2470","aircraft engineer","aircraft engineer",2
"3535","aircraft maintenance engineer","aircraft maintenance engineer",3
"2922","aircraft maintenance technician","aircraft maintenance technician",3
"1877","aircraft mechanic","aircraft mechanic",2
"3536","aircraft technician","aircraft technician",2
"3537","ajudante geral","general assistant",2
"4842","albañil","builder",1
"3538","algemeen directeur","managing director",2
"3801","allround medewerker","allround employee",2
"4435","almacenista","store",1
"1496","almoxarife","stockroom",1
"4843","aluno","student",1
"1960","am","am",1
"1727","ama de casa","housewife",1
"1057","ambassador","ambassador",1
"990","amministratore","administrator",1
"3802","amministratore delegato","ceo",1
"2038","amministratore unico","sole director",2
"3803","analist","analyst",1
"246","analista","analyst",1
"927","analista administrativo","administrative analyst",2
"3102","analista ambiental","environmental analyst",2
"2039","analista comercial","commercial analyst",2
"4436","analista contabil","accounting analyst",2
"1451","analista contábil","accounting analyst",2
"1279","analista contable","accounting analyst",2
"3539","analista da qualidade","quality analyst",2
"2752","analista de compras","shopping analyst",2
"4437","analista de credito","credit analyst",2
"2606","analista de logística","logistics analyst",2
"2333","analista de marketing","marketing analyst",2
"4844","analista de pcp","pcp analyst",2
"2607","analista de processos","process analyst",2
"4438","analista de projetos","project analyst",2
"4439","analista de qualidade","quality analyst",2
"883","analista de recursos humanos","human resources analyst",3
"1616","analista de rh","rh analyst",2
"3103","analista de sistema","systems analyst",2
"233","analista de sistemas","systems analyst",2
"662","analista de suporte","support analyst",2
"2753","analista de suporte técnico","technical support analyst",3
"4845","analista de teste","test analyst",2
"2923","analista de ti","analyst of you",3
"4846","analista de vendas","sales analyst",2
"756","analista financeiro","financial analyst",2
"2040","analista financiero","financial analyst",2
"1213","analista fiscal","tax analyst",2
"1801","analista funcional","functional analyst",2
"638","analista programador","analyst programmer",2
"3540","analista programmatore","analyst programmer",2
"2924","analista senior","senior analyst",2
"60","analyst","analyst",1
"4112","analyst developer","analyst developer",2
"3296","analyst intern","analyst intern",2
"702","analyst programmer","analyst programs",2
"4440","analyst/programmer","analyst programs",2
"2925","analyste développeur","analyst developer",2
"4441","analyste financier","financial analyst",2
"1617","analyste programmeur","analyst programmer",2
"1554","analytical chemist","analytical chemist",2
"811","android developer","android developer",2
"1672","anesthesiologist","anesthesiologist",1
"3541","angestellte","employee",1
"2608","angestellter","employee",1
"3297","animateur","animator",1
"1183","animator","animator",1
"3104","animatrice","host",1
"4847","ap","ap",1
"1802","aposentada","retired",1
"1238","aposentado","retired",1
"4848","application analyst","application analyst",2
"4442","application consultant","application consultant",2
"444","application developer","application developer",2
"475","application engineer","application engineer",2
"4849","application manager","application manager",2
"4443","application programmer","application programmer",2
"1618","application specialist","application specialist",2
"2130","application support analyst","application support analyst",3
"4113","application support engineer","application support engineer",3
"3804","applications developer","application developer",2
"1058","applications engineer","application engineer",2
"4850","appointment setter","appointment setter",2
"4851","appraiser","appraiser",1
"4852","apprenti","apprentice",1
"603","apprentice","apprentice",1
"2926","apprentice electrician","apprentice electrician",2
"2471","apprenticeship","apprenticeship",1
"1619","aprendiz","apprentice",1
"4853","arbetsledare","supervisor",1
"82","architect","architect",1
"1497","architecte","architect",1
"1312","architectural assistant","architectural assistant",2
"1081","architectural designer","architectural designer",2
"911","architectural intern","architectural intern",2
"4854","architectural project manager","architectural project manager",3
"4855","architectural technician","architectural technician",2
"3805","architecture","architect",1
"4856","architekt","architect",1
"647","architetto","architect",1
"4857","archivist","archivist",1
"2927","archivista","archivist",1
"3806","archiviste","archivist",1
"3542","area business manager","area business manager",3
"3807","area coordinator","area coordinator",2
"2334","area director","area director",2
"143","area manager","area manager",2
"4444","area sales executive","area sales executive",3
"135","area sales manager","area sales manager",3
"3543","area sales representative","area sales representative",3
"2472","area supervisor","area supervisor",2
"3808","arkitekt","architect",1
"4858","armed security officer","armed security officer",3
"2609","army","army",1
"4445","army officer","army officer",2
"1041","arquitecta","architect",1
"425","arquitecto","architect",1
"2928","arquitecto técnico","technical architect",2
"1112","arquiteta","architect",1
"1803","arquiteto","architect",1
"133","art director","art director",2
"4114","art instructor","art instructor",2
"991","art teacher","art teacher",2
"4446","art therapist","art therapist",2
"992","article assistant","article assistant",2
"4859","article clerk","article clerk",2
"4115","article trainee","article trainee",2
"4447","articled assistant","article assistant",2
"1673","artigiano","artisan",1
"4116","artisan","artisan",1
"152","artist","artist",1
"3298","artist in residence","artist in residence",3
"3299","artista","artist",1
"4448","artiste","artist",1
"3809","artiste peintre","painter",1
"1878","artistic director","artistic director",2
"3300","arzt","doctor",1
"1059","ase","ase",1
"451","asesor","adviser",1
"546","asesor comercial","business advisor",2
"2041","asesor de ventas","sales advisor",2
"3544","asesor en computación asuntos informáticos y tecnologicos","computer advisor it and technology matters",6
"1042","asesor financiero","financial advisor",2
"1961","asesor inmobiliario","real estate advisor",3
"2610","asesor jurídico","legal advisor",2
"2131","asesora","adviser",1
"1555","asesora comercial","business advisor",2
"4860","asesora de ventas","sales advisor",2
"482","asistente","assistant",1
"993","asistente administrativa","administrative assistant",2
"344","asistente administrativo","administrative assistant",2
"2473","asistente comercial","commercial assistant",2
"1060","asistente contable","accounting assistant",2
"4449","asistente de contabilidad","accounting assistant",2
"2929","asistente de dirección","director&#39;s assistant",2
"2226","asistente de gerencia","management assistant",2
"4117","asistente de investigación","research assistant",2
"2335","asistente de marketing","marketing assistant",2
"3301","asistente de operaciones","operations assistant",2
"4861","asistente de produccion","production assistant",2
"2754","asistente de producción","production assistant",2
"2132","asistente de recursos humanos","assistant human resources",3
"3810","asistente de ventas","sales assistant",2
"4862","asistente legal","legal assistant",2
"1452","asm","asm",1
"3545","asociado","associate",1
"1022","assembler","assembler",1
"3811","assembly line worker","assembly line worker",3
"3812","assembly technician","assembly technician",2
"1498","assessor","assessor",1
"4450","assessora","assessor",1
"3302","assessora de comunicação","communications adviser",2
"3105","assessora de imprensa","press advisor",2
"1499","asset manager","asst manager",2
"90","assistant","assistant",1
"1407","assistant account executive","assistant account executive",3
"3813","assistant account manager","assistant account manager",3
"409","assistant accountant","assistant accountant",2
"1962","assistant architect","assistant architect",2
"4451","assistant art director","assistant art director",3
"3814","assistant attorney general","assistant attorney general",3
"2611","assistant auditor","assistant editor",2
"741","assistant branch manager","assistant branch manager",3
"1239","assistant brand manager","assistant branch manager",3
"1061","assistant buyer","assistant buyer",2
"4863","assistant chef de projet","project chief assistant",3
"1408","assistant coach","assistant coach",2
"3106","assistant commercial","commercial assistant",2
"3815","assistant company secretary","assistant company secretary",3
"3546","assistant comptable","accounting assistant",2
"2042","assistant consultant","assistant consultant",2
"539","assistant controller","assistant controller",2
"2227","assistant designer","assistant designer",2
"4452","assistant direction","assistant director",2
"263","assistant director","assistant director",2
"2930","assistant director of admissions","assistant director of admissions",4
"3816","assistant driller","assistant driller",2
"560","assistant editor","assistant editor",2
"540","assistant engineer","assistant engineer",2
"3817","assistant finance manager","assistant finance manager",3
