ABAP)	['Software Engineer (SAP ABAP)']	Advanced Business Application Programming
ABET	['ABET Facilitator']	Adult Basic Education and Training
ABLE	['ABLE SEAMAN', 'ABLE BODIED SEAMAN', 'ABLE BODY', 'ABLE SEAMEN']	(Able Bodied Seaman) Able
ABOC	['ABOC Optician', 'Optician ABOC', 'Optician, ABOC']	American Board of Opticianry Certified
ABR	['Realtor, ABR', 'Realtor, GRI, ABR', 'REALTOR, ABR', 'Realtor ABR', 'Broker, ABR', 'Associate Broker, ABR', 'Broker Associate, ABR', 'ABR', 'REALTOR, GRI, ABR', 'Realtor, SRES, ABR', 'Realtor, CRS, ABR']	Accredited Buyer's Representative 
ABSN	['ABSN Student', 'ABSN Nursing Student']	Accelerated Bachelor of Science in Nursing 
ACA	['ACA', 'ACA Trainee', 'ACA Trainee Accountant', 'Trainee ACA', 'ACA Audit Trainee', 'ACA Coordinator', 'ACA Trainee Chartered Accountant', 'ACA trainee', 'ACA Graduate Trainee', 'ACA Navigator', 'Trainee ACA Accountant', 'ACA Student', 'ACA Outreach Organizer', 'ACA Consultant']	Association of Chartered Accountants
A.C.	['A.C.', 'A.C.', '1st A.C.', '1st A.C.']	Assistant Camera
A/C	['A/C Technician', 'A/C', 'A/C Mechanic', 'A/C Engineer', 'A/C Tech', 'A/C technician', 'A/C tech', 'A/C Installer', 'A/C TECHNICIAN', 'A/C engineer', 'A/C Supervisor', 'A/C MECHANIC', 'A/C installer', 'A/C mechanic', 'A/C Systems Engineer', 'A/C Maintenance Engineer', 'A/C TECH', 'A/C ENGINEER']	Air conditioning
ACAP	['ACAP Counselor', 'ACAP', 'ACAP Career Counselor']	Army Career and Alumni Program
ACCA	['ACCA Trainee', 'ACCA', 'ACCA Lecturer', 'ACCA Student', 'ACCA Management Trainee', 'ACCA trainee', 'ACCA TRAINEE', 'ACCA Tutor', 'ACCA student', 'ACCA Internee', 'ACCA Accountant', 'ACCA Trainee Accountant', 'ACCA Affiliate']	Association of Chartered Certified Accountants
ACC	['ACC', 'ACC Contract Clinical Coder', 'Clinical Coder ACC', 'Coach ACC', 'ACC Clerk', 'ACC Clinical Coder']	Accredited Clinical Coder
acc.	['acc.', 'acc. manager']	Account
Acc.	['Acc. Manager', 'Acc.', 'Acc. manager', 'Acc. Executive', 'Key Acc. Manager']	Account
acct.	['acct.', 'acct. manager']	Account
ACCT	['ACCT', 'ACCT MGR', 'ACCT REP', 'ACCT MANAGER', 'ACCT CLERK', 'ACCT TECH', 'ACCT PAYABLE', 'PATIENT ACCT REP']	Account
Acct.	['Acct. Manager', 'Acct. Executive', 'Acct. Mgr.', 'Acct. Exec.', 'Sr. Acct. Executive', 'Acct.', 'Sr. Acct. Exec.', 'Sr. Acct. Manager', 'Sr. Acct. Mgr.', 'Acct. Mgr', 'Acct. Exec', 'Acct. Rep', 'Acct. Clerk', 'Senior Acct. Executive', 'Acct. Supervisor', 'Acct. Rep.', 'Acct. Tech', 'Acct. Asst.', 'Senior Acct. Manager', 'Senior Acct. Exec.']	Account
ACD	['ACD', 'Freelance ACD', 'ACD / Art Director', 'Freelance ACD / Art Director', 'ACD Copywriter', 'Senior Art Director / ACD', 'ACD Art Director', 'Freelance ACD Copy', 'Art Director / ACD', 'Freelance ACD / Copywriter', 'Consulting ACD', 'ACD Freelance', 'ACD Administrator', 'Freelance ACD Art Director', 'VP ACD', 'VP, ACD', 'Freelance ACD Copywriter', 'Freelance Art Director / ACD', 'ACD / Copywriter']	Associate Creative Director
ACE	['ACE', 'ACE Certified Personal Trainer', 'ACE Coordinator', 'ACE Fellow', 'ACE Team Member', 'ACE Mentor', 'ACE Intern', 'ACE Pilot', 'ACE Tutor', 'ACE Manager', 'ACE Certified Group Fitness Instructor', 'ACE Leader', 'ACE Site Coordinator', 'ACE Coach', 'ACE Engineer', 'ACE Counselor', 'ACE Observer', 'ACE Teacher', 'For ACE on a project as: Mechanical Engineer', 'Oracle ACE Director', 'ACE Program Coordinator', 'ACE IT Facilitator', 'ACE Instructor', 'ACE Marketing Intern', 'ACE Personal Trainer', 'ACE Certified Health Coach', 'ACE Trainer', 'ACE Advisor', 'sr. mechanical engineer via ACE']	American Council on Exercise 	ADDICTION COUNSELOR EDUCATION; Associated Consulting Engineers
A/CEO	['A/CEO']	Chief Executive Officer
ACFI	['ACFI Coordinator', 'ACFI Manager']	Aged Care Funding Instrument
ACIAT	['Architectural Technologist ACIAT']	Chartered Institute of Architectural Technologists
ACN	['ACN', 'ACN Independent Business Owner', 'ACN Independent Representative', 'ACN Representative', 'ACN IBO']	American Communications Network (ACN)
ACO	['ACO', 'ACO Coordinator', 'ACO Care Coordinator']	Accountable Care Organizations
ACPE	['ACPE', 'ACPE Supervisor']	Association for Clinical Pastoral Education
ACR	['ACR', 'ACR Consultant']	Accounting & Consulting Resources
ACS	['ACS', 'ACS Engineer', 'ACS Agent', 'ACS Specialist', 'ACS Manager', 'ACS Administrator']	Audit Collection Services
ACSC	['ACSC Student', 'ACSC', 'Student ACSC']	Air Command and Staff College
ACSM	['ACSM Certified Personal Trainer', 'ACSM', 'ACSM Personal Trainer', 'ACSM Certified Exercise Physiologist']	American College of Sports Medicine
ACT	['ACT Tutor', 'ACT', 'ACT Instructor', 'ACT Team Leader', 'ACT Case Manager', 'ACT Manager', 'ACT Teacher', 'SAT and ACT Tutor', 'ACT Team Lead', 'ACT Prep Instructor', 'ACT Branch Manager', 'Professor ACT', 'State Manager NSW & ACT', 'ACT Recovery Counselor', 'ACT Specialist', 'ACT Team Case Manager', 'ACT Coordinator', 'ACT Prep Tutor', 'ACT Supervisor', 'ACT Regional Manager', 'ACT Clinician', 'ACT Director', 'ACT State Manager', 'ACT Therapist', 'ACT Operations Manager', 'NSW & ACT State Manager', 'State Manager - NSW & ACT', 'ACT RN', 'State Manager - NSW / ACT', 'Business Development Manager - NSW & ACT', 'ACT Substance Abuse Specialist', 'State Manager ACT']	American College Testing (ACT)
ADA	['ADA', 'ADA Coordinator', 'ADA Specialist', 'ADA Consultant', 'ADA Assistant']	Americans with Disabilities Act
ADACG	['ADACG Specialist']	Arrival/Departure Airfield Control Group
AD	['AD', '1st AD', '2nd AD', '3rd AD', 'Freelance AD', '2nd 2nd AD', 'Junior AD', 'AD Assistant', 'AD assistant', 'Key 2nd AD', 'AD assistent', 'Production AD', 'Senior AD', 'First AD', 'Assistant AD', '1st AD // Ayudante de Direcci\xc3\xb3n', 'TNI AD', 'AD Manager', 'AD / Graphic Designer', 'Trainee AD', 'AD Assistent', 'Associate AD', 'AD Trainee', 'AD Consultant', 'AD SALES', 'Second AD', 'Sr. AD', '1 AD', '1\xc3\xa8re Assistante de r\xc3\xa9alisation/ 1st AD', 'Graphic Designer / AD', 'AD Intern', 'AD Engineer', 'Assistente AD', 'Crowd AD', 'Producer/1st AD', 'AD Production Assistant', 'Creative AD', '1st AD // Ayte. de Direcci\xc3\xb3n', 'AD Sales', 'Verkaufsberater AD', 'Producer / 1st AD', '1 st AD', 'AD Specialist', 'Presidente e AD', 'Auxiliar de direcci\xc3\xb3n // 3rd AD', 'Digital AD', 'Lead Design / AD', 'AD Migration Engineer', 'Senior Creative / AD', '1st. AD', 'AD Administrator', 'Sr. Associate AD', 'Asst. AD', '1ST AD', 'AD Migration Consultant', 'Web AD']	Advertising
A.D.	['A.D.', 'A.D.', '1st A.D.', '1st A.D.', '2nd A.D.', '2nd A.D.', 'First A.D.', 'First A.D.', '1ER ASSISTANT-REALISATEUR/1ST A.D.', '1ER ASSISTANT-REALISATEUR/1ST A.D.', '1st. A.D.', '1st. A.D.']	Assistant Director
A&D	['A&D Representative', 'A&D Market Manager', 'A&D Sales Representative', 'A&D Manager', 'A&D Sales', 'A&D Consultant', 'A&D Specialist', 'A&D Counselor', 'A&D Analyst', 'A&D Coordinator', 'A&D Sales Manager', 'A&D Account Manager', 'A&D Business Development']	Architecture & Design
ADC	['ADC', 'ADC Officer', 'ADC Manager', 'ADC Attendant']	Arkansas Department of Correction
Addl.	['Addl. General Manager']	Additional
ADF	['ADF Developer', 'Oracle ADF Developer', 'ADF', 'Oracle ADF Consultant', 'Senior Oracle ADF Developer', 'ADF Consultant', 'Senior ADF Developer', 'Senior ADF Consultant', 'ADF developer', 'Senior Oracle ADF Consultant', 'Oracle ADF developer']	Application Development Framework
ADHD	['ADHD Coach', 'ADHD coach']	Attention Deficit Disorder Association
(ADI)	['Approved Driving Instructor (ADI)']	Approved Driving Instructor (ADI)
adj.	['adj. directeur', 'adj. dir.', 'adj. Directeur']	Adjunct
Adj.	['Adj. Professor', 'Adj. Directeur', 'Adj. Assistant Professor', 'Adj. Prof.', 'Adj. directeur', 'Adj. Asst. Professor', 'Adj. Instructor', 'Adj. Associate Professor', 'Adj. Director', 'Adj. Lecturer', 'Adj. Faculty']	Adjunct
ADM.	['ADM.', 'ADM.', 'AUX. ADM.', 'AUX. ADM.', 'ASSISTENTE ADM.', 'ASSISTENTE ADM.', 'ADM. ASST.', 'ADM. ASST.', 'ADM. ASSISTANT', 'ADM. ASSISTANT', 'AUXILIAR ADM.', 'AUXILIAR ADM.', 'GERENTE ADM. FINANCEIRO', 'GERENTE ADM. FINANCEIRO', 'GERENTE ADM.', 'GERENTE ADM.', 'Assistente ADM.', 'Assistente ADM.', 'ADM. Medewerkster', 'ADM. Medewerkster']	Administrator
Adm.	['Adm. Assistant', 'Adm. medewerkster', 'Adm. Asst.', 'Adm. direkt\xc3\xb8r', 'Adm. Direkt\xc3\xb8r', 'Adm. medewerker', 'Adm.', 'Gerente Adm. Financeiro', 'Adm. Medewerkster', 'Aux. Adm.', 'Assistente Adm.', 'Auxiliar Adm.', 'Adm. Medewerker', 'Adm. Secretary', 'Adm. Asst', 'Assistente Adm. Financeiro', 'Adm. direkt\xc3\xb8r / CEO', 'Gerente de Adm. y Finanzas', 'Assist. Adm.', 'Gerente Adm.', 'Analista Adm. Financeiro', 'Coordenador Adm. Financeiro', 'Diretor Adm. Financeiro', 'Adm. medarbejder', 'Analista Adm. Pessoal', 'Assistente Adm. de Vendas', 'Adm. dir.', 'Adm. Dir.', 'Ass. Adm.', 'Analista Adm.', 'Gerente Adm. y Finanzas', 'Analista de Adm. de Pessoal', 'Adm. Direkt\xc3\xb8r / CEO', 'Adm. Financeiro', 'Adm. Manager', 'Adm. de Redes', 'Coordenadora Adm. de Vendas', 'Assistente Adm. Vendas', 'Assistente Adm. Comercial', 'Adm. medew.', 'Adm. Coordinator', 'Adm. dir', 'Ger. Adm. Financeiro', 'Adm. Officer', 'Analista Adm. de Vendas', 'Gerente Adm. Financeira', 'Coord. Adm. Financeiro', 'Gerente Adm. e Financeiro', 'Adm. Assist.', 'Analista Adm. de Pessoal', 'Analista de Adm. Pessoal', 'Auxiliar Adm. Financeiro', 'Coordenadora Adm. Financeiro', 'Adm. Redes', 'Jefe de Adm. y Finanzas', 'CEO / Adm. direkt\xc3\xb8r', 'CEO / Adm. Direkt\xc3\xb8r', 'Adm. Dir', 'Supervisora Adm.', 'Supervisor Adm. Financeiro', 'Adm. Comercial', 'Secretaria Adm.', 'HR & Adm. Manager', 'Adm. sekret\xc3\xa6r', 'Adm. assistant', 'Gerente Adm. Comercial', 'Sr. Adm. Asst.', 'Coord. Adm.', 'Assistente Adm. de Pessoal', 'Executive Adm. Assistant', 'Adm. leder', 'Diretor Adm.', 'Coordenadora Adm. Financeira', 'Aux. Adm. Financeiro', 'Adm. Director', 'Finance & Adm. Manager', 'Adm. Clerk', 'Adm. Assist', 'Analista Adm. Vendas', 'Fin. Adm. Medewerker', 'Adm. Vendas', 'Assist. Adm. Financeiro', 'Adm. Medarbejder', 'Adm. direkt\xc3\xb8r/CEO', 'Supervisora Adm. de Vendas', 'Adm. Empresas', 'Diretor Adm. e Financeiro', 'Adm. sagsbehandler', 'Assistente de Adm. de Pessoal', 'Gerente Adm. de Vendas', 'Adm. de Vendas', 'Adm. RRHH', 'Supervisora Adm. Financeiro', 'Aux Adm.', 'Adm. Direkt\xc3\xb8r/CEO', 'Adm. Assistance', 'Adm. de Obras', 'Coordenadora Adm.', 'Senior Adm. Assistant', 'Tec. Adm.', 'Assistente Adm. Pessoal', "Adm. Ass't.", 'Adm. koordinator', 'Adm. Medew.', 'Coordenador de Adm. de Pessoal']	Administrative
adm.	['adm. medewerkster', 'adm. medewerker', 'adm.', 'adm. medew.', 'adm. asst.', 'adm. assistant', 'aux. adm.', 'adm. asst', 'adm. direkt\xc3\xb8r', 'auxiliar adm.', 'Auxiliar adm.', 'assistente adm.', 'Fin. adm. medewerker', 'Financieel adm. medewerker', 'Assistente adm.', 'Aux. adm.', 'Financieel adm. medewerkster', 'gerente adm.']	Administrative
ADMIN	['ADMIN', 'ADMIN ASSISTANT', 'ADMIN OFFICER', 'ADMIN MANAGER', 'ADMIN ASST', 'ADMIN CLERK', 'SYSTEM ADMIN', 'ADMIN EXECUTIVE', 'IT ADMIN', 'HR & ADMIN', 'HR ADMIN', 'OFFICE ADMIN', 'HR & ADMIN MANAGER', 'ADMIN STAFF', 'NETWORK ADMIN', 'HR & ADMIN EXECUTIVE', 'SALES ADMIN', 'WARRANTY ADMIN', 'ADMIN ASSIST', 'HR & ADMIN OFFICER', 'ADMIN ASST.', 'ADMIN SUPERVISOR', 'ADMIN SECRETARY', 'SYS ADMIN', 'FINANCE & ADMIN MANAGER', 'ADMIN ASSITANT', 'HR & ADMIN Executive', 'ADMIN SUPPORT', 'ADMIN COORDINATOR', 'UNIX ADMIN', 'HR & ADMIN Manager', 'ADMIN NCO', 'SAP BASIS ADMIN', 'FINANCE AND ADMIN MANAGER', 'ADMIN HEAD', 'MANAGER HR & ADMIN', 'PAYROLL ADMIN', 'ADMIN SPECIALIST', 'LAN ADMIN', 'HR AND ADMIN MANAGER', 'SYSTEMS ADMIN', 'EXECUTIVE ADMIN', 'FINANCE AND ADMIN OFFICER', 'STAFF ADMIN', 'ADMIN AND FINANCE MANAGER', 'Manager - HR & ADMIN', 'HR AND ADMIN', 'HR & ADMIN ASSISTANT', 'SENIOR ADMIN OFFICER', 'MANAGER - HR & ADMIN', 'HEAD HR & ADMIN', 'ASSISTANT ADMIN', 'DATABASE ADMIN', 'Manager HR & ADMIN', 'ADMIN ASSOCIATE', 'AIX ADMIN', 'HR / ADMIN', 'ADMIN TECH', 'ADMIN SALES', 'ADMIN CHIEF', 'ADMIN ASSISTANCE', 'Executive - HR & ADMIN', 'MANAGER ADMIN', 'ADMIN MGR', 'EXECUTIVE HR & ADMIN', 'ADMIN INCHARGE', 'SENIOR ADMIN CLERK', 'ADMIN Officer', 'PARTS ADMIN']	Administration
Admn.	['Admn.']	Administrator
ADMN	['ADMN']	Administrator
Admn.	['Admn. Asst.', 'Admn. Officer', 'Admn. Assistant', 'Admn. Manager']	Administrative
ADN	['ADN', 'ADN Instructor', 'ADN Faculty']	Associate Degree Nursing
ADR	['ADR', 'ADR Voice Casting', 'ADR Mixer', 'ADR Specialist', 'ADR Casting', 'ADR Coordinator', 'ADR Looper', 'ADR Recordist', 'Manager of ADR Services', 'EEO ADR Specialist', 'ADR Supervisor', 'ADR Director', 'ADR Intern', 'ADR Engineer', 'ADR Editor', 'ADR Driver', 'ADR Mediator', 'ADR Assistant', 'ADR Consultant', 'ADR Advisor', 'ADR Manager']	Automated Dialogue Replacement
ADRM	['ADRM']	Additional Divisional Railway Manager
Adv.	['Adv.', 'Adv. IT Specialist']	Advanced
AEA	['AEA Stage Manager', 'AEA Production Stage Manager', 'AEA Assistant Stage Manager', 'AEA', 'AEA Actress', 'AEA Actor']	Actor's Equity Association
A&E	['A&E Editor', 'A&E Nurse', 'A&E Staff Nurse', 'A&E Reporter', 'A&E', 'A&E Project Manager', 'Staff Nurse A&E', 'A&E Receptionist', 'A&E Manager', 'SHO A&E', 'A&E nurse', 'A&E Doctor', 'Assistant A&E Editor', 'A&E Writer', 'A&E SHO', 'A&E Registrar', 'A&E staff nurse', 'A&E Designer', 'A&E Intern', 'A&E Consultant', 'A&E Coordinator', 'A&E Specialist']	Arts & Entertainment	Accident & Emergency 
